timestamp,date,open,high,low,close,volume
2021-02-01 09:15:00+05:30,2021-02-01 09:15:00+05:30,19388.0,19388.0,19200.0,19250.0,260
2021-02-01 09:30:00+05:30,2021-02-01 09:30:00+05:30,19250.0,19250.0,19088.0,19107.05,141
2021-02-01 09:45:00+05:30,2021-02-01 09:45:00+05:30,19107.05,19108.95,18970.0,18989.5,284
2021-02-01 10:00:00+05:30,2021-02-01 10:00:00+05:30,18989.5,19059.85,18952.0,18999.95,178
2021-02-01 10:15:00+05:30,2021-02-01 10:15:00+05:30,18999.95,19000.0,18960.0,18969.0,119
2021-02-01 10:30:00+05:30,2021-02-01 10:30:00+05:30,18969.0,18992.3,18952.0,18992.3,88
2021-02-01 10:45:00+05:30,2021-02-01 10:45:00+05:30,18992.3,19000.0,18870.0,18900.0,718
2021-02-01 11:00:00+05:30,2021-02-01 11:00:00+05:30,18900.0,18900.0,18802.25,18870.05,285
2021-02-01 11:15:00+05:30,2021-02-01 11:15:00+05:30,18881.2,18929.6,18850.0,18865.1,456
2021-02-01 11:30:00+05:30,2021-02-01 11:30:00+05:30,18865.1,18865.1,18777.0,18850.0,551
2021-02-01 11:45:00+05:30,2021-02-01 11:45:00+05:30,18850.0,18852.95,18790.0,18798.35,375
2021-02-01 12:00:00+05:30,2021-02-01 12:00:00+05:30,18798.35,18826.4,18780.0,18819.35,334
2021-02-01 12:15:00+05:30,2021-02-01 12:15:00+05:30,18819.35,18820.0,18799.05,18818.5,253
2021-02-01 12:30:00+05:30,2021-02-01 12:30:00+05:30,18818.5,18820.3,18782.3,18800.55,415
2021-02-01 12:45:00+05:30,2021-02-01 12:45:00+05:30,18800.6,18900.0,18800.0,18840.95,2309
2021-02-01 13:00:00+05:30,2021-02-01 13:00:00+05:30,18840.95,18900.0,18816.15,18879.2,736
2021-02-01 13:15:00+05:30,2021-02-01 13:15:00+05:30,18883.15,19000.0,18830.0,18978.95,1160
2021-02-01 13:30:00+05:30,2021-02-01 13:30:00+05:30,18978.9,19000.0,18900.0,18920.2,947
2021-02-01 13:45:00+05:30,2021-02-01 13:45:00+05:30,18920.2,18953.15,18898.0,18898.0,757
2021-02-01 14:00:00+05:30,2021-02-01 14:00:00+05:30,18898.0,18909.6,18892.9,18909.6,2336
2021-02-01 14:15:00+05:30,2021-02-01 14:15:00+05:30,18909.6,19000.0,18909.6,19000.0,1766
2021-02-01 14:30:00+05:30,2021-02-01 14:30:00+05:30,19000.0,19000.0,18962.2,18990.85,379
2021-02-01 14:45:00+05:30,2021-02-01 14:45:00+05:30,18999.95,19000.0,18966.8,19000.0,295
2021-02-01 15:00:00+05:30,2021-02-01 15:00:00+05:30,19000.0,19169.95,18975.05,19119.7,1349
2021-02-01 15:15:00+05:30,2021-02-01 15:15:00+05:30,19126.0,19200.0,19081.4,19197.0,720
2021-02-02 09:15:00+05:30,2021-02-02 09:15:00+05:30,19328.0,19468.0,19245.0,19465.15,1014
2021-02-02 09:30:00+05:30,2021-02-02 09:30:00+05:30,19465.15,19475.0,19399.45,19412.25,670
2021-02-02 09:45:00+05:30,2021-02-02 09:45:00+05:30,19412.25,19475.0,19350.3,19450.0,663
2021-02-02 10:00:00+05:30,2021-02-02 10:00:00+05:30,19450.0,19550.0,19420.0,19526.05,4870
2021-02-02 10:15:00+05:30,2021-02-02 10:15:00+05:30,19526.05,19698.95,19498.55,19697.0,573
2021-02-02 10:30:00+05:30,2021-02-02 10:30:00+05:30,19697.0,19800.0,19500.3,19768.7,2320
